ST_ABBR,FIPS,LOCATION,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01001,"Autauga County, Alabama",0.4624,0.1397,0.6038,0.508,0.4586,2.1725,0.3838,0.1827,0.6986,0.683,0.7922,0.4736,2.8301,0.7362,0.6337,0.6337,0.6337,0.605,0.7486,0.4023,0.4764,0.1569,2.3892,0.4309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01003,"Baldwin County, Alabama",0.177,0.2861,0.5808,0.3647,0.5767,1.9853,0.3253,0.6496,0.4077,0.3689,0.1738,0.515,2.115,0.2724,0.5022,0.5022,0.5022,0.9574,0.4885,0.36,0.1257,0.3157,2.2473,0.3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01005,"Barbour County, Alabama",0.9586,0.8071,0.7075,0.9688,0.668,4.11,0.9567,0.5216,0.3316,0.7581,0.9656,0.746,3.3229,0.9453,0.8962,0.8962,0.8962,0.2565,0.9427,0.8549,0.9456,0.9513,3.951,0.9949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01007,"Bibb County, Alabama",0.682,0.8485,0.4831,0.8654,0.5471,3.4261,0.8008,0.2623,0.2903,0.7101,0.9637,0.3116,2.538,0.5512,0.6292,0.6292,0.6292,0.4402,0.9554,0.2759,0.6556,0.8873,3.2144,0.8622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01009,"Blount County, Alabama",0.501,0.5586,0.2651,0.8027,0.6181,2.7455,0.5757,0.409,0.6489,0.4421,0.6108,0.6986,2.8094,0.7225,0.4147,0.4147,0.4147,0.1187,0.8803,0.4742,0.4281,0.1569,2.0582,0.2743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01011,"Bullock County, Alabama",0.9694,0.2005,0.3628,0.9666,0.6563,3.1556,0.7183,0.24,0.5369,0.2011,0.9949,0.7139,2.6868,0.6515,0.9809,0.9809,0.9809,0.2909,0.9914,0.168,0.9609,0.7766,3.1878,0.8501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01013,"Butler County, Alabama",0.8119,0.7689,0.4055,0.6464,0.6254,3.2581,0.7486,0.6728,0.522,0.5191,0.7922,0.2416,2.7477,0.6887,0.8686,0.8686,0.8686,0.1983,0.8571,0.1996,0.4764,0.3873,2.1187,0.2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01015,"Calhoun County, Alabama",0.67,0.8383,0.4328,0.7094,0.6181,3.2686,0.7533,0.373,0.4398,0.8453,0.6862,0.4736,2.8179,0.7279,0.6582,0.6582,0.6582,0.585,0.6792,0.2377,0.4281,0.6139,2.5439,0.5197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01017,"Chambers County, Alabama",0.7027,0.2377,0.4682,0.8094,0.5525,2.7705,0.5837,0.5602,0.3186,0.7384,0.6728,0.3116,2.6016,0.5955,0.8421,0.8421,0.8421,0.8355,0.6136,0.9688,0.7533,0.4198,3.591,0.9599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01019,"Cherokee County, Alabama",0.6088,0.3323,0.2018,0.8027,0.5767,2.5223,0.5029,0.816,0.1773,0.6031,0.1324,0.6104,2.3392,0.4096,0.2778,0.2778,0.2778,0.2699,0.8883,0.3183,0.1362,0.1913,1.804,0.1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
